directory,location,color,sessid,group,animal
23506\Spont1,F238,blueuv,Spon,Control,23506
23506\Spont2,F238,blueuv,Spon,Control,23506
23506\Spont3,F238,blueuv,Spon,Control,23506
23506\Spont4,F238,blueuv,Spon,Control,23506
23507\Spont1,F238,blueuv,Spon,Control,23507
23507\Spont1,F238,blueuv,Spon,Control,23507
23509\Spont1,F238,blueuv,Spon,Lhx6,23509
23509\Spont2,F238,blueuv,Spon,Lhx6,23509
23512\Spont1,F238,blueuv,Spon,Control,23512
23512\Spont2,F238,blueuv,Spon,Control,23512
23521\Spont1,F238,blueuv,Spon,Lhx6,23521
23521\Spont2,F238,blueuv,Spon,Lhx6,23521
23524\Spont1,F238,blueuv,Spon,Lhx6,23524
23524\Spont2,F238,blueuv,Spon,Lhx6,23524
23525\Spont1,F238,blueuv,Spon,Lhx6,23525
23530\Spont1,F238,blueuv,Spon,Emx,23530
23530\Spont2,F238,blueuv,Spon,Emx,23530
23540\Spont2,F238,blueuv,Spon,Emx,23540
